block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,1,0,9275,0,0,0,34.429
2,AL,12,11,276,0,0,0,5.562
3,AL,12,11,95,0,0,0,16.803
4,AL,5,4,86,0,0,0,4.996
5,AL,3,0,1097,0,0,0,6.793
6,AL,53,23,1382,0,0,0,8.563
7,AL,117,87,1381,0,0,0,35.273
8,AL,144,114,1468,0,0,0,45.384
9,AL,246,216,2232,0,0,0,68.218
10,AL,282,252,2936,1,1,1,112.483
11,AL,412,382,2584,0,0,0,117.748
12,AL,268,238,1380,0,0,0,222.088
13,AL,378,348,1935,2,1,1,101.879
14,AL,230,200,769,0,0,0,174.637
15,AL,312,282,1994,0,0,0,174.550
16,AL,160,130,890,0,0,0,95.842
17,AL,60,30,314,0,0,0,154.049
18,AL,42,12,220,0,0,0,56.817
19,AL,44,14,234,0,0,0,42.250
20,AL,35,5,115,0,0,0,42.414
21,AL,40,10,243,0,0,0,35.094
22,AL,40,10,120,0,0,0,39.303
23,AL,39,9,121,0,0,0,39.707
24,AL,38,8,170,0,0,0,41.001
25,AL,35,5,143,0,0,0,39.573
26,AL,45,15,143,0,0,0,39.183
27,AL,33,3,122,0,0,0,46.568
28,AL,41,11,158,0,0,0,35.006
29,AL,40,10,156,0,0,0,48.130
30,AL,38,8,113,0,0,0,44.647
31,AL,38,8,194,0,0,0,46.622
32,AL,42,12,170,0,0,0,44.049
33,AL,40,10,229,0,0,0,50.303
34,AL,42,12,133,0,0,0,46.114
35,AL,47,17,139,0,0,0,48.894
36,AL,32,2,85,0,0,0,57.206
37,AL,41,11,121,0,0,0,40.434
38,AL,39,9,101,0,0,0,45.442
39,AL,39,9,95,0,0,0,44.758
40,AL,42,12,168,0,0,0,43.469
41,AL,38,8,191,0,0,0,45.521
42,AL,40,10,117,0,0,0,41.733
43,AL,42,12,102,0,0,0,45.486
44,AL,38,8,88,0,0,0,45.654
45,AL,40,10,98,0,0,0,42.161
46,AL,35,5,114,0,0,0,42.131
47,AL,37,7,125,0,0,0,39.686
48,AL,47,17,100,0,0,0,41.200
49,AL,33,3,130,0,0,0,49.925
50,AL,40,10,103,0,0,0,38.034
51,AL,40,10,110,0,0,0,41.950
52,AL,38,8,120,0,0,0,43.215
53,AL,41,11,134,0,0,0,43.060
54,AL,43,13,103,0,0,0,44.220
55,AL,36,6,123,0,0,0,48.048
56,AL,49,19,1112,1,1,0,21.673
57,AL,116,86,248,0,0,0,42.087
58,AL,46,16,106,0,0,0,105.693
59,AL,42,12,129,0,0,0,50.280
60,AL,36,6,106,0,0,0,48.325
61,AL,42,12,101,0,0,0,42.960
62,AL,38,8,169,0,0,0,45.494
63,AL,40,10,186,0,0,0,46.371
64,AL,38,8,63,0,0,0,47.229
65,AL,35,5,87,0,0,0,50.195
66,AL,46,16,86,0,0,0,43.199
67,AL,31,1,70,0,0,0,54.063
68,AL,42,12,84,0,0,0,35.624
69,AL,38,8,66,0,0,0,46.437
70,AL,40,10,64,0,0,0,44.470
71,AL,33,3,53,0,0,0,48.969
72,AL,39,9,87,0,0,0,41.050
73,AL,42,12,58,0,0,0,53.350
74,AL,36,6,71,0,0,0,45.967
75,AL,38,8,77,0,0,0,49.138
76,AL,42,12,62,0,0,0,48.209
77,AL,40,10,65,0,0,0,55.128
78,AL,33,3,79,0,0,0,53.756
79,AL,39,9,86,0,0,0,41.391
80,AL,48,18,97,0,0,0,47.407
81,AL,38,8,88,0,0,0,57.846
82,AL,42,12,98,0,0,0,54.701
83,AL,40,10,187,0,0,0,46.540
84,AL,38,8,87,0,0,0,45.943
85,AL,42,12,60,0,0,0,46.710
86,AL,40,10,90,0,0,0,48.818
87,AL,33,3,77,0,0,0,47.194
88,AL,39,9,119,0,0,0,41.575
89,AL,39,9,91,0,0,0,50.976
90,AL,39,9,69,0,0,0,44.679
91,AL,39,9,98,0,0,0,47.942
92,AL,42,12,67,0,0,0,45.591
93,AL,39,9,92,0,0,0,53.982
94,AL,42,12,94,0,0,0,48.382
95,AL,44,14,87,0,0,0,53.033
96,AL,34,4,131,0,0,0,48.810
97,AL,42,12,78,0,0,0,44.647
98,AL,41,11,60,0,0,0,49.614
99,AL,37,7,92,0,0,0,45.589
100,AL,38,8,61,0,0,0,45.846
101,AL,35,5,63,0,0,0,45.266
102,AL,46,16,68,0,0,0,40.573
103,AL,33,3,144,0,0,0,53.980
104,AL,40,10,81,0,0,0,38.898
105,AL,40,10,141,0,0,0,50.420
106,AL,38,8,67,0,0,0,44.509
107,AL,40,10,111,0,0,0,43.980
108,AL,39,9,64,0,0,0,48.805
109,AL,41,11,126,0,0,0,46.390
110,AL,41,11,77,0,0,0,49.035
111,AL,39,9,58,0,0,0,46.621
112,AL,40,10,129,0,0,0,44.207
113,AL,37,7,62,0,0,0,45.983
114,AL,35,5,73,0,0,0,47.600
115,AL,46,16,119,0,0,0,44.631
116,AL,37,7,76,0,0,0,53.713
117,AL,37,7,143,0,0,0,51.083
118,AL,47,17,121,0,0,0,42.477
119,AL,33,3,84,0,0,0,50.124
120,AL,40,10,67,0,0,0,37.735
121,AL,40,10,58,0,0,0,44.900
122,AL,38,8,159,0,0,0,44.021
123,AL,40,10,64,0,0,0,42.559
124,AL,40,10,83,0,0,0,56.417
125,AL,40,10,64,0,0,0,48.876
126,AL,32,2,88,0,0,0,49.619
127,AL,40,10,63,0,0,0,42.546
128,AL,40,10,119,0,0,0,49.448
129,AL,38,8,74,0,0,0,51.404
130,AL,38,8,73,0,0,0,50.091
131,AL,37,7,67,0,0,0,43.023
132,AL,44,14,98,0,0,0,49.416
133,AL,36,6,60,0,0,0,48.047
134,AL,37,7,73,0,0,0,40.903
135,AL,45,15,162,0,0,0,45.107
136,AL,38,8,68,0,0,0,59.183
137,AL,37,7,95,0,0,0,53.679
138,AL,45,15,72,0,0,0,44.595
139,AL,33,3,77,0,0,0,57.145
140,AL,42,12,66,0,0,0,41.291
141,AL,39,9,147,0,0,0,49.812
142,AL,39,9,63,0,0,0,54.200
143,AL,40,10,112,0,0,0,124.596
144,AL,50,20,95,0,0,0,84.634
145,AL,42,12,70,0,0,0,59.282
146,AL,60,30,135,2,2,1,27.993
147,AL,120,90,233,0,0,0,55.423
148,AL,49,19,178,0,0,0,128.853
149,AL,41,11,197,0,0,0,56.160
150,AL,43,13,88,0,0,0,64.103
151,AL,36,6,208,0,0,0,60.924
152,AL,41,11,80,0,0,0,54.560
153,AL,48,18,89,0,0,0,247.013
154,AL,60,30,97,0,0,0,68.244
155,AL,40,10,87,0,0,0,63.702
156,AL,41,11,98,0,0,0,45.657
157,AL,39,9,82,0,0,0,51.738
158,AL,41,11,60,0,0,0,47.825
159,AL,36,6,60,0,0,0,49.671
160,AL,41,11,92,0,0,0,107.606
161,AL,43,13,79,0,0,0,47.410
162,AL,39,9,60,0,0,0,48.855
163,AL,40,10,85,0,0,0,47.820
164,AL,34,4,78,0,0,0,51.068
165,AL,38,8,69,0,0,0,45.611
166,AL,45,15,94,0,0,0,44.777
167,AL,34,4,54,0,0,0,63.105
168,AL,40,10,98,0,0,0,116.983
169,AL,48,18,108,0,0,0,51.477
170,AL,32,2,58,0,0,0,56.301
171,AL,41,11,70,0,0,0,39.151
172,AL,38,8,76,0,0,0,52.378
173,AL,40,10,99,0,0,0,52.046
174,AL,38,8,58,0,0,0,49.111
175,AL,36,6,63,0,0,0,62.322
176,AL,44,14,85,0,0,0,132.099
177,AL,44,14,95,0,0,0,50.706
178,AL,44,14,143,0,0,0,50.615
179,AL,35,5,54,0,0,0,53.172
180,AL,41,11,114,0,0,0,47.532
181,AL,44,14,171,0,0,0,53.305
182,AL,36,6,88,0,0,0,55.638
183,AL,40,10,94,0,0,0,53.655
184,AL,47,17,164,0,0,0,134.490
185,AL,51,21,91,0,0,0,54.232
186,AL,40,10,93,0,0,0,57.156
187,AL,42,12,68,0,0,0,47.308
188,AL,38,8,92,0,0,0,54.175
189,AL,40,10,90,0,0,0,60.355
190,AL,39,9,70,0,0,0,50.025
191,AL,41,11,97,0,0,0,56.851
192,AL,40,10,111,0,0,0,147.921
193,AL,40,10,83,0,0,0,95.842
194,AL,49,19,76,0,0,0,51.945
195,AL,36,6,74,0,0,0,58.565
196,AL,37,7,66,0,0,0,43.904
197,AL,46,16,77,0,0,0,52.350
198,AL,34,4,56,0,0,0,60.913
199,AL,40,10,144,0,0,0,54.779
200,AL,35,5,108,0,0,0,128.209
201,AL,58,28,159,0,0,0,43.712
202,AL,45,15,165,0,0,0,64.736
203,AL,42,12,70,0,0,0,55.167
204,AL,43,13,75,0,0,0,50.323
205,AL,35,5,91,0,0,0,56.041
206,AL,42,12,111,0,0,0,43.717
207,AL,47,17,80,0,0,0,62.528
208,AL,34,4,89,0,0,0,134.892
209,AL,55,25,103,0,0,0,47.938
210,AL,39,9,71,0,0,0,62.205
211,AL,40,10,81,0,0,0,50.055
212,AL,43,13,109,0,0,0,48.352
213,AL,38,8,64,0,0,0,63.619
214,AL,39,9,70,0,0,0,51.394
215,AL,43,13,65,0,0,0,49.971
216,AL,33,3,84,0,0,0,137.866
217,AL,57,27,144,0,0,0,46.761
218,AL,39,9,68,0,0,0,67.153
219,AL,38,8,53,0,0,0,47.878
220,AL,43,13,101,0,0,0,49.368
221,AL,36,6,166,0,0,0,64.596
222,AL,36,6,75,0,0,0,49.690
223,AL,43,13,105,0,0,0,54.963
224,AL,35,5,72,0,0,0,144.190
225,AL,60,30,92,0,0,0,48.904
