block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,3,2,8456,0,0,0,33.993
2,AL,13,12,193,0,0,0,17.813
3,AL,12,11,76,0,0,0,9.616
4,AL,2,1,64,0,0,0,0.740
5,AL,11,0,1139,0,0,0,7.087
6,AL,49,19,729,0,0,0,16.454
7,AL,65,35,1021,0,0,0,47.496
8,AL,69,39,773,0,0,0,43.908
9,AL,76,46,993,0,0,0,50.621
10,AL,67,37,677,0,0,0,58.334
11,AL,63,33,481,0,0,0,51.346
12,AL,53,23,277,0,0,0,50.871
13,AL,45,15,218,0,0,0,44.263
14,AL,42,12,288,0,0,0,40.059
15,AL,40,10,164,0,0,0,38.046
16,AL,53,23,216,2,1,1,36.048
17,AL,44,14,209,0,0,0,46.377
18,AL,43,13,237,0,0,0,40.405
19,AL,37,7,207,0,0,0,42.060
20,AL,40,10,180,0,0,0,38.017
21,AL,43,13,303,0,0,0,39.712
22,AL,43,13,264,0,0,0,42.661
23,AL,44,14,362,0,0,0,44.806
24,AL,34,4,218,0,0,0,43.898
25,AL,37,7,154,0,0,0,35.796
26,AL,40,10,138,0,0,0,37.515
27,AL,42,12,140,0,0,0,42.714
28,AL,34,4,120,0,0,0,41.582
29,AL,36,6,98,0,0,0,39.008
30,AL,39,9,117,0,0,0,39.100
31,AL,41,11,110,0,0,0,40.599
32,AL,33,3,143,0,0,0,39.801
33,AL,36,6,98,0,0,0,35.349
34,AL,39,9,178,0,0,0,38.704
35,AL,42,12,128,0,0,0,41.336
36,AL,35,5,114,0,0,0,44.148
37,AL,39,9,90,0,0,0,37.592
38,AL,43,13,99,0,0,0,40.249
39,AL,34,4,87,0,0,0,48.490
40,AL,37,7,91,0,0,0,40.413
41,AL,39,9,102,0,0,0,41.359
42,AL,42,12,151,0,0,0,45.348
43,AL,32,2,95,0,0,0,44.238
44,AL,36,6,96,0,0,0,39.278
45,AL,40,10,99,0,0,0,39.896
46,AL,43,13,111,0,0,0,43.021
47,AL,33,3,73,0,0,0,46.568
48,AL,36,6,86,0,0,0,37.935
49,AL,39,9,142,0,0,0,41.810
50,AL,42,12,113,0,0,0,43.893
51,AL,34,4,123,0,0,0,45.573
52,AL,36,6,82,0,0,0,38.936
53,AL,39,9,91,0,0,0,41.235
54,AL,41,11,117,0,0,0,44.542
55,AL,35,5,69,0,0,0,46.717
56,AL,35,5,99,0,0,0,41.626
57,AL,41,11,127,0,0,0,38.495
