block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,3,2,8596,0,0,0,34.476
2,AL,14,13,237,0,0,0,17.755
3,AL,12,11,99,0,0,0,5.174
4,AL,1,0,65,0,0,0,5.007
5,AL,6,0,1462,0,0,0,2.931
6,AL,54,24,883,0,0,0,10.992
7,AL,114,84,820,0,0,0,35.580
8,AL,134,104,1308,0,0,0,44.372
9,AL,227,197,2828,0,0,0,59.576
10,AL,243,213,2583,2,1,1,106.609
11,AL,340,310,1202,0,0,0,88.854
12,AL,198,168,694,0,0,0,168.144
13,AL,272,242,819,0,0,0,97.390
14,AL,175,145,690,0,0,0,119.319
15,AL,243,213,751,0,0,0,132.671
16,AL,132,102,559,0,0,0,66.992
17,AL,56,26,372,0,0,0,122.115
18,AL,42,12,136,0,0,0,59.089
19,AL,40,10,303,0,0,0,48.295
20,AL,38,8,128,0,0,0,41.843
21,AL,72,42,155,2,2,1,39.998
22,AL,40,10,143,0,0,0,65.575
23,AL,38,8,125,0,0,0,39.687
24,AL,38,8,285,0,0,0,37.051
25,AL,38,8,111,0,0,0,37.230
26,AL,36,6,103,0,0,0,41.081
27,AL,35,5,95,0,0,0,36.809
28,AL,35,5,136,0,0,0,36.250
29,AL,40,10,119,0,0,0,38.452
30,AL,40,10,140,0,0,0,43.243
31,AL,32,2,421,0,0,0,45.523
32,AL,36,6,115,0,0,0,37.314
33,AL,39,9,105,0,0,0,40.659
34,AL,39,9,138,0,0,0,42.801
35,AL,36,6,83,0,0,0,45.806
36,AL,38,8,121,0,0,0,42.888
37,AL,39,9,93,0,0,0,44.954
38,AL,41,11,163,0,0,0,46.553
39,AL,42,12,104,0,0,0,51.879
40,AL,40,10,95,0,0,0,48.499
41,AL,38,8,112,0,0,0,43.078
42,AL,37,7,95,0,0,0,41.942
43,AL,40,10,103,0,0,0,43.981
44,AL,43,13,94,0,0,0,46.496
45,AL,34,4,84,0,0,0,44.296
46,AL,37,7,103,0,0,0,36.021
47,AL,39,9,102,0,0,0,39.393
48,AL,40,10,146,0,0,0,43.707
49,AL,37,7,98,0,0,0,45.102
50,AL,40,10,102,0,0,0,40.654
51,AL,43,13,140,0,0,0,41.561
52,AL,35,5,115,0,0,0,48.746
53,AL,38,8,102,0,0,0,37.400
54,AL,39,9,225,0,0,0,46.003
55,AL,38,8,95,0,0,0,39.928
56,AL,37,7,102,0,0,0,38.960
57,AL,40,10,139,0,0,0,42.088
58,AL,43,13,112,0,0,0,44.401
59,AL,35,5,91,0,0,0,47.334
60,AL,40,10,128,0,0,0,41.996
61,AL,39,9,141,0,0,0,44.518
62,AL,36,6,124,0,0,0,43.158
63,AL,37,7,74,0,0,0,39.144
64,AL,39,9,110,0,0,0,43.328
65,AL,43,13,81,0,0,0,45.012
66,AL,33,3,70,0,0,0,47.791
67,AL,39,9,75,0,0,0,39.087
68,AL,39,9,68,0,0,0,43.906
69,AL,40,10,72,0,0,0,45.346
70,AL,35,5,100,0,0,0,47.245
71,AL,41,11,70,0,0,0,43.382
72,AL,44,14,79,0,0,0,50.308
73,AL,35,5,73,0,0,0,47.800
74,AL,39,9,75,0,0,0,42.271
75,AL,39,9,93,0,0,0,45.635
76,AL,37,7,103,0,0,0,51.003
77,AL,38,8,80,0,0,0,50.108
78,AL,40,10,72,0,0,0,46.337
79,AL,42,12,66,0,0,0,51.065
80,AL,35,5,76,0,0,0,46.863
81,AL,38,8,74,0,0,0,47.116
82,AL,37,7,154,0,0,0,51.782
83,AL,40,10,74,0,0,0,40.810
84,AL,40,10,83,0,0,0,46.978
85,AL,39,9,84,0,0,0,53.803
86,AL,41,11,91,0,0,0,51.700
87,AL,35,5,59,0,0,0,55.827
88,AL,41,11,94,0,0,0,41.211
89,AL,44,14,72,0,0,0,49.185
