block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,5,4,9678,0,0,0,34.559
2,AL,14,13,202,0,0,0,17.806
3,AL,11,10,92,0,0,0,5.408
4,AL,36,6,1519,0,0,0,7.934
5,AL,54,24,1042,0,0,0,39.707
6,AL,60,30,583,0,0,0,44.011
7,AL,60,30,502,0,0,0,39.432
8,AL,56,26,414,0,0,0,41.711
9,AL,54,24,613,0,0,0,40.479
10,AL,60,30,494,0,0,0,41.751
11,AL,55,25,441,0,0,0,46.701
12,AL,52,22,383,0,0,0,45.380
13,AL,53,23,682,0,0,0,43.955
14,AL,119,89,819,2,1,1,30.154
15,AL,180,150,879,0,0,0,66.599
16,AL,259,229,1564,0,0,0,127.232
17,AL,176,146,568,0,0,0,120.146
18,AL,240,210,1078,0,0,0,132.429
19,AL,154,124,684,0,0,0,85.515
20,AL,224,194,2651,0,0,0,128.833
21,AL,150,120,533,0,0,0,75.208
22,AL,67,37,290,0,0,0,134.293
23,AL,43,13,170,0,0,0,63.065
24,AL,40,10,124,0,0,0,42.529
25,AL,36,6,93,0,0,0,40.904
26,AL,36,6,148,0,0,0,36.533
27,AL,38,8,111,0,0,0,39.277
28,AL,40,10,156,0,0,0,40.069
29,AL,35,5,120,0,0,0,44.090
30,AL,37,7,133,0,0,0,42.467
31,AL,40,10,125,0,0,0,40.521
32,AL,38,8,145,0,0,0,44.347
33,AL,39,9,140,0,0,0,43.986
34,AL,41,11,106,0,0,0,41.453
35,AL,40,10,106,0,0,0,48.576
36,AL,36,6,103,0,0,0,46.322
37,AL,36,6,164,0,0,0,42.770
38,AL,39,9,130,0,0,0,41.957
39,AL,39,9,83,0,0,0,43.768
40,AL,39,9,123,0,0,0,41.944
41,AL,40,10,278,0,0,0,41.706
42,AL,41,11,118,0,0,0,48.410
43,AL,37,7,111,0,0,0,46.524
44,AL,37,7,127,0,0,0,42.456
45,AL,46,16,100,0,0,0,43.748
46,AL,104,74,280,2,2,1,39.130
47,AL,140,110,202,0,0,0,49.549
48,AL,52,22,193,0,0,0,138.545
49,AL,48,18,118,0,0,0,53.606
50,AL,34,4,85,0,0,0,50.471
51,AL,36,6,91,0,0,0,38.977
52,AL,37,7,95,0,0,0,40.529
53,AL,43,13,193,0,0,0,38.160
54,AL,33,3,83,0,0,0,43.060
55,AL,39,9,110,0,0,0,36.490
56,AL,38,8,193,0,0,0,41.971
57,AL,40,10,181,0,0,0,40.364
58,AL,40,10,120,0,0,0,46.232
59,AL,39,9,78,0,0,0,43.008
60,AL,41,11,108,0,0,0,45.119
61,AL,31,1,182,0,0,0,44.747
62,AL,39,9,180,0,0,0,37.104
63,AL,45,15,89,0,0,0,45.387
64,AL,35,5,167,0,0,0,49.556
65,AL,39,9,143,0,0,0,43.116
66,AL,37,7,118,0,0,0,46.471
67,AL,44,14,100,0,0,0,46.462
