block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,4,3,16724,0,0,0,34.397
2,AL,14,13,232,0,0,0,13.021
3,AL,11,10,115,0,0,0,5.176
4,AL,1,0,69,0,0,0,9.367
5,AL,32,2,1587,0,0,0,7.493
6,AL,58,28,982,0,0,0,38.847
7,AL,70,40,767,0,0,0,44.266
8,AL,68,38,837,0,0,0,51.591
9,AL,8,4,121,0,0,0,48.668
10,AL,90,60,890,0,0,0,8.207
11,AL,71,41,1299,0,0,0,78.403
12,AL,71,41,4554,0,0,0,59.023
13,AL,59,29,576,0,0,0,58.329
14,AL,157,127,1346,2,1,1,52.706
15,AL,232,202,1729,0,0,0,104.972
16,AL,175,145,1353,0,0,0,115.391
17,AL,255,225,1347,0,0,0,95.790
18,AL,185,155,1106,0,0,0,123.881
19,AL,262,232,970,0,0,0,90.013
20,AL,186,156,738,0,0,0,142.502
21,AL,64,34,303,0,0,0,154.485
22,AL,52,22,241,0,0,0,60.216
23,AL,40,10,148,0,0,0,48.031
24,AL,43,13,181,0,0,0,41.893
25,AL,41,11,158,0,0,0,42.664
26,AL,39,9,154,0,0,0,44.508
27,AL,40,10,184,0,0,0,41.629
28,AL,41,11,127,0,0,0,44.677
29,AL,39,9,144,0,0,0,48.480
30,AL,40,10,115,0,0,0,45.661
31,AL,41,11,187,0,0,0,43.336
32,AL,36,6,134,0,0,0,49.073
33,AL,42,12,147,0,0,0,43.754
34,AL,42,12,152,0,0,0,46.836
35,AL,36,6,157,0,0,0,49.517
36,AL,43,13,149,0,0,0,41.283
37,AL,41,11,97,0,0,0,46.025
38,AL,39,9,150,0,0,0,48.771
39,AL,40,10,169,0,0,0,45.742
40,AL,41,11,155,0,0,0,46.617
41,AL,41,11,160,0,0,0,44.254
42,AL,45,15,134,0,0,0,44.345
43,AL,38,8,189,0,0,0,47.556
44,AL,44,14,103,0,0,0,41.471
45,AL,42,12,114,0,0,0,49.901
46,AL,36,6,129,0,0,0,48.981
47,AL,43,13,106,0,0,0,39.563
48,AL,41,11,129,0,0,0,43.944
49,AL,38,8,100,0,0,0,42.483
50,AL,41,11,177,0,0,0,40.877
51,AL,41,11,99,0,0,0,43.001
52,AL,154,124,306,2,2,1,45.703
53,AL,59,29,213,0,0,0,142.593
54,AL,46,16,129,0,0,0,59.761
55,AL,41,11,115,0,0,0,47.814
56,AL,39,9,153,0,0,0,45.479
57,AL,40,10,123,0,0,0,43.675
58,AL,41,11,287,0,0,0,46.130
59,AL,38,8,102,0,0,0,52.342
60,AL,40,10,107,0,0,0,44.190
61,AL,40,10,94,0,0,0,44.650
62,AL,38,8,122,0,0,0,44.567
63,AL,41,11,193,0,0,0,47.320
64,AL,43,13,172,0,0,0,55.861
65,AL,39,9,161,0,0,0,51.283
66,AL,40,10,93,0,0,0,53.941
67,AL,41,11,96,0,0,0,44.100
68,AL,39,9,83,0,0,0,53.902
69,AL,40,10,91,0,0,0,47.740
70,AL,41,11,94,0,0,0,47.903
71,AL,38,8,134,0,0,0,50.055
72,AL,41,11,170,0,0,0,50.950
73,AL,41,11,200,0,0,0,53.322
74,AL,39,9,74,0,0,0,56.988
75,AL,40,10,125,0,0,0,45.882
76,AL,41,11,69,0,0,0,51.711
77,AL,39,9,73,0,0,0,50.170
78,AL,40,10,102,0,0,0,42.718
79,AL,41,11,123,0,0,0,49.547
80,AL,39,9,136,0,0,0,49.302
81,AL,40,10,91,0,0,0,47.405
82,AL,41,11,175,0,0,0,49.482
83,AL,39,9,69,0,0,0,45.879
84,AL,40,10,72,0,0,0,46.382
85,AL,41,11,103,0,0,0,50.792
86,AL,41,11,103,0,0,0,48.233
87,AL,45,15,73,0,0,0,49.409
88,AL,38,8,163,0,0,0,52.918
89,AL,42,12,80,0,0,0,43.738
90,AL,40,10,70,0,0,0,48.163
91,AL,36,6,105,0,0,0,46.372
92,AL,39,9,69,0,0,0,49.611
93,AL,41,11,83,0,0,0,48.742
94,AL,38,8,94,0,0,0,49.010
95,AL,41,11,91,0,0,0,43.992
96,AL,45,15,106,0,0,0,48.058
97,AL,38,8,178,0,0,0,50.990
98,AL,43,13,130,0,0,0,42.906
99,AL,39,9,108,0,0,0,54.131
100,AL,37,7,123,0,0,0,46.534
101,AL,51,21,99,1,0,0,27.439
102,AL,121,91,251,0,0,0,40.427
103,AL,56,26,117,0,0,0,118.087
104,AL,48,18,140,0,0,0,62.688
105,AL,42,12,65,0,0,0,50.208
106,AL,34,4,79,0,0,0,47.316
107,AL,43,13,68,0,0,0,40.849
108,AL,39,9,88,0,0,0,46.091
109,AL,38,8,169,0,0,0,45.337
110,AL,40,10,72,0,0,0,44.673
111,AL,40,10,77,0,0,0,52.001
112,AL,36,6,114,0,0,0,43.528
113,AL,41,11,89,0,0,0,40.477
114,AL,39,9,86,0,0,0,47.456
115,AL,40,10,66,0,0,0,45.308
116,AL,39,9,73,0,0,0,46.294
117,AL,40,10,62,0,0,0,43.114
118,AL,41,11,91,0,0,0,56.962
119,AL,36,6,65,0,0,0,52.650
120,AL,40,10,112,0,0,0,43.084
121,AL,43,13,155,0,0,0,52.032
122,AL,37,7,108,0,0,0,46.888
123,AL,43,13,76,0,0,0,44.559
124,AL,41,11,81,0,0,0,51.719
125,AL,39,9,79,0,0,0,52.557
126,AL,40,10,93,0,0,0,45.985
127,AL,41,11,139,0,0,0,52.106
128,AL,39,9,79,0,0,0,48.098
129,AL,40,10,70,0,0,0,51.140
130,AL,41,11,100,0,0,0,47.567
131,AL,39,9,91,0,0,0,53.280
132,AL,40,10,103,0,0,0,49.653
133,AL,43,13,107,0,0,0,47.287
134,AL,46,16,131,0,0,0,55.060
135,AL,42,12,92,0,0,0,58.332
136,AL,39,9,94,0,0,0,51.921
137,AL,44,14,113,0,0,0,54.662
138,AL,39,9,111,0,0,0,58.491
139,AL,40,10,153,0,0,0,52.296
140,AL,42,12,77,0,0,0,47.886
141,AL,36,6,109,0,0,0,99.251
142,AL,64,34,97,0,0,0,44.685
143,AL,45,15,105,0,0,0,89.675
144,AL,41,11,92,0,0,0,62.420
145,AL,41,11,93,0,0,0,61.161
146,AL,45,15,93,0,0,0,58.744
147,AL,38,8,92,0,0,0,58.123
148,AL,44,14,99,0,0,0,48.626
149,AL,42,12,159,0,0,0,133.024
150,AL,84,54,158,0,0,0,140.204
151,AL,91,61,285,0,0,0,63.709
152,AL,55,25,90,0,0,0,95.435
153,AL,42,12,80,0,0,0,62.339
154,AL,41,11,97,0,0,0,52.801
155,AL,41,11,70,0,0,0,56.924
156,AL,39,9,66,0,0,0,49.458
157,AL,40,10,116,0,0,0,53.117
158,AL,41,11,126,0,0,0,106.582
159,AL,88,58,202,0,0,0,103.641
160,AL,94,64,247,0,0,0,50.333
161,AL,56,26,117,0,0,0,99.130
162,AL,41,11,77,0,0,0,64.018
163,AL,42,12,81,0,0,0,54.793
164,AL,37,7,154,0,0,0,66.118
165,AL,42,12,168,0,0,0,56.722
166,AL,44,14,73,0,0,0,51.255
167,AL,34,4,76,2,2,1,102.154
168,AL,240,210,348,0,0,0,70.397
169,AL,318,288,648,0,0,0,224.562
170,AL,174,144,357,0,0,0,153.167
171,AL,66,36,221,0,0,0,210.679
172,AL,47,17,82,0,0,0,76.897
173,AL,27,0,228,0,0,0,56.073
174,AL,63,33,120,0,0,0,40.004
175,AL,43,13,71,0,0,0,79.222
176,AL,39,9,84,0,0,0,131.000
177,AL,51,21,105,0,0,0,51.656
178,AL,47,17,76,0,0,0,58.322
179,AL,43,13,260,0,0,0,54.085
180,AL,39,9,97,0,0,0,62.784
181,AL,40,10,88,0,0,0,59.168
182,AL,41,11,70,0,0,0,52.638
183,AL,39,9,71,0,0,0,58.697
184,AL,36,6,3708,0,0,0,126.695
